Game_pk,date,Park
717621,6/25/2023,Comerica Park
717617,6/25/2023,Rogers Centre
717610,6/25/2023,Petco Park
717624,6/25/2023,Citizens Bank Park
717622,6/25/2023,Yankee Stadium
717616,6/25/2023,Coors Field
717619,6/25/2023,Tropicana Field
717620,6/25/2023,loanDepot park
717623,6/25/2023,Busch Stadium
717608,6/26/2023,Angel Stadium
717602,6/26/2023,T-Mobile Park
717611,6/26/2023,Oriole Park at Camden Yards
717609,6/26/2023,Truist Park
717606,6/26/2023,Globe Life Field
717607,6/26/2023,Citi Field
717597,6/27/2023,Citi Field
717590,6/27/2023,T-Mobile Park
717598,6/27/2023,Busch Stadium
717595,6/27/2023,Oakland Coliseum
717599,6/27/2023,Globe Life Field
717596,6/27/2023,Wrigley Field
717604,6/27/2023,Rogers Centre
717593,6/27/2023,Chase Field
717594,6/27/2023,Coors Field
717591,6/27/2023,Kauffman Stadium
717603,6/27/2023,PNC Park
717605,6/27/2023,Fenway Park
717592,6/27/2023,Angel Stadium
717600,6/27/2023,Truist Park
717601,6/27/2023,Oriole Park at Camden Yards
717580,6/28/2023,Globe Life Field
717575,6/28/2023,Chase Field
717579,6/28/2023,Oakland Coliseum
717581,6/28/2023,Citi Field
717577,6/28/2023,Kauffman Stadium
717585,6/28/2023,PNC Park
717578,6/28/2023,Coors Field
717583,6/28/2023,Fenway Park
717586,6/28/2023,Rogers Centre
717587,6/28/2023,T-Mobile Park
717576,6/28/2023,Angel Stadium
717588,6/28/2023,Truist Park
717589,6/28/2023,Oriole Park at Camden Yards
717582,6/28/2023,Busch Stadium
717584,6/28/2023,Wrigley Field
717573,6/29/2023,Kauffman Stadium
717572,6/29/2023,Coors Field
717574,6/29/2023,Oakland Coliseum
717569,6/29/2023,Fenway Park
717565,6/29/2023,Citi Field
717571,6/29/2023,PNC Park
717560,6/29/2023,Angel Stadium
717567,6/29/2023,Wrigley Field
717570,6/29/2023,Globe Life Field
717568,6/29/2023,Chase Field
717566,6/29/2023,Busch Stadium
717564,6/29/2023,Rogers Centre
717554,6/30/2023,Globe Life Field
717551,6/30/2023,Oakland Coliseum
717561,6/30/2023,Oriole Park at Camden Yards
717556,6/30/2023,Citi Field
717548,6/30/2023,T-Mobile Park
717557,6/30/2023,Great American Ball Park
717563,6/30/2023,Citizens Bank Park
717559,6/30/2023,Wrigley Field
717558,6/30/2023,Truist Park
717562,6/30/2023,PNC Park
717552,6/30/2023,Coors Field
717550,6/30/2023,Busch Stadium
